,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,Port Elizabeth,-33.92,25.57,53.6,58,73,3.83,ZA,1597685944
44,Bredasdorp,-34.53,20.04,50.0,81,98,16.11,ZA,1597685945
45,Barrow,71.29,-156.79,44.6,87,75,21.92,US,1597685947
46,La Ronge,55.1,-105.28,69.8,64,5,3.09,CA,1597685666
47,Castro,-24.79,-50.01,67.64,77,77,4.47,BR,1597685949
48,Severo-Kuril'sk,50.68,156.12,50.81,91,81,1.52,RU,1597685950
49,Punta Arenas,-53.15,-70.92,37.4,86,75,19.46,CL,1597685722
50,Benguela,-12.58,13.41,71.6,78,67,9.17,AO,1597685654
51,Tegul'det,57.31,88.17,56.59,87,1,5.28,RU,1597685953
52,Andra,62.51,65.89,55.83,81,99,10.45,RU,1597685955
53,Ust-Maya,60.42,134.53,44.06,83,99,1.25,RU,1597685956
54,Dashitou,43.31,128.51,71.51,94,100,10.04,CN,1597685957
55,Faanui,-16.48,-151.75,77.72,71,66,11.27,PF,1597685958
56,Mossamedes,-15.2,12.15,62.17,84,58,9.73,AO,1597685817
57,Fes,34.04,-5.0,91.4,22,0,10.29,MA,1597685960
58,Araouane,18.9,-3.53,105.96,21,0,8.28,ML,1597685962
59,Mar del Plata,-38.0,-57.56,57.2,30,0,21.92,AR,1597685962
60,Yar-Sale,66.83,70.83,49.57,92,99,8.79,RU,1597685907
61,Qaanaaq,77.48,-69.36,41.72,64,67,6.6,GL,1597685965
62,Torbay,47.67,-52.73,81.0,36,75,9.17,CA,1597685967
63,Banda Aceh,5.56,95.32,80.02,81,18,9.55,ID,1597685103
64,Saint-Marc-des-Carrieres,46.68,-72.05,75.0,82,75,4.7,CA,1597685860
65,Chara,56.91,118.26,40.55,70,0,4.32,RU,1597685970
66,Kavaratti,10.57,72.64,82.04,81,98,11.54,IN,1597685887
67,Poum,-20.23,164.02,71.35,87,79,20.78,NC,1597685972
68,Sitka,57.05,-135.33,55.4,93,90,4.99,US,1597685974
69,Kurdzhinovo,43.99,40.96,55.74,66,1,4.32,RU,1597685975
70,New Norfolk,-42.78,147.06,46.99,97,28,2.37,AU,1597685976
71,Mahébourg,-20.41,57.7,71.6,78,40,11.41,MU,1597685977
72,Turbat,26.0,63.04,87.01,64,54,6.93,PK,1597685978
73,Puerto Ayora,-0.74,-90.35,70.0,77,75,11.41,EC,1597685979
74,Codrington,-38.27,141.97,46.58,96,53,10.29,AU,1597685980
75,Abonnema,4.71,6.79,84.2,74,40,5.82,NG,1597685982
76,Sayyan,15.17,44.32,69.13,50,81,0.36,YE,1597685983
77,Springville,40.17,-111.61,93.0,32,20,4.7,US,1597685766
78,Karratha,-20.74,116.85,64.09,30,0,11.72,AU,1597685985
79,Mwingi,-0.93,38.06,69.06,64,100,9.95,KE,1597685986
80,Airai,-8.93,125.41,55.33,81,0,2.77,TL,1597685987
81,Yerofey Pavlovich,53.97,121.97,44.91,74,99,6.73,RU,1597685989
82,Tuy Hoa,13.08,109.3,78.31,83,86,4.25,VN,1597685990
83,Leningradskiy,69.38,178.42,40.91,81,65,18.68,RU,1597685777
84,Nikolskoye,59.7,30.79,63.0,59,0,8.95,RU,1597685992
85,Hermanus,-34.42,19.23,50.0,74,92,5.99,ZA,1597685993
86,Marathon,44.9,-89.77,75.2,47,20,9.17,US,1597685904
87,Rubtsovsk,51.5,81.25,68.41,32,97,8.68,RU,1597685996
88,Kropotkin,45.44,40.58,69.08,38,0,4.36,RU,1597685997
89,Port Blair,11.67,92.75,81.86,80,92,11.16,IN,1597685829
90,Ancud,-41.87,-73.82,54.0,71,75,11.41,CL,1597686000
91,Busselton,-33.65,115.33,52.0,73,94,15.55,AU,1597686001
92,Bluff,-46.6,168.33,37.99,97,87,3.0,NZ,1597686002
93,Shimoda,34.67,138.95,77.0,95,36,3.2,JP,1597686003
94,Biak,-0.91,122.88,74.77,72,100,8.41,ID,1597686004
95,Kruisfontein,-34.0,24.73,63.0,29,66,8.01,ZA,1597686006
96,Samarinda,-0.5,117.15,75.69,93,97,2.35,ID,1597686007
97,Beringovskiy,63.05,179.32,51.62,83,100,22.73,RU,1597686008
98,Yellowknife,62.46,-114.35,62.6,55,20,6.93,CA,1597685918
99,Mehamn,71.04,27.85,48.2,70,75,17.22,NO,1597686010
100,Ponta do Sol,32.67,-17.1,77.0,68,2,3.15,PT,1597686012
101,Jiwani,25.05,61.74,82.44,84,61,10.6,PK,1597686013
102,Bethel,41.37,-73.41,80.01,60,40,4.7,US,1597686014
103,Kavieng,-2.57,150.8,81.75,79,9,10.45,PG,1597686015
104,Cabra,37.47,-4.44,88.0,26,0,1.01,ES,1597686016
105,Lubango,-14.92,13.49,59.07,53,51,5.12,AO,1597686018
106,Shalakusha,62.22,40.25,47.93,92,70,4.72,RU,1597686019
107,Carnarvon,-24.87,113.63,59.0,93,70,10.29,AU,1597686020
108,Viedma,-40.81,-63.0,59.74,33,0,21.5,AR,1597686021
109,Locri,38.24,16.26,84.0,21,0,10.2,IT,1597686023
110,Saint Paul Harbor,57.79,-152.41,51.8,100,90,6.8,US,1597686024
111,Luganville,-15.53,167.17,76.21,85,100,6.8,VU,1597686025
112,Avarua,-21.21,-159.78,69.8,68,32,3.36,CK,1597685764
113,Madimba,-10.4,40.33,71.83,85,25,9.69,TZ,1597686028
114,Katsuura,35.13,140.3,82.0,90,60,3.0,JP,1597686029
115,Nova Olímpia,-14.8,-57.29,106.84,14,0,5.14,BR,1597686030
116,Guadalajara,20.67,-103.33,73.99,49,75,8.05,MX,1597685958
117,Port Alfred,-33.59,26.89,59.27,60,94,14.32,ZA,1597685821
118,Bintulu,3.17,113.03,73.4,94,40,2.24,MY,1597686050
119,Bambanglipuro,-7.95,110.28,75.85,85,57,8.43,ID,1597686052
120,Buraidah,26.33,43.98,98.6,19,90,6.93,SA,1597686053
121,Corinth,37.94,22.96,84.0,45,1,1.99,GR,1597686054
122,Kitaibaraki,36.78,140.75,80.01,79,25,2.73,JP,1597686055
123,Charters Towers,-20.1,146.27,53.85,42,10,3.98,AU,1597686056
124,Sur,22.57,59.53,89.01,59,47,12.53,OM,1597686058
125,Merritt Island,28.54,-80.67,93.99,66,40,6.93,US,1597685802
126,Provideniya,64.38,-173.3,48.31,81,100,5.61,RU,1597686060
127,Keti Bandar,24.14,67.45,84.67,82,100,14.29,PK,1597686062
128,Isiro,2.77,27.62,69.71,97,100,0.94,CD,1597686065
129,Bac Lieu,9.29,105.72,79.81,87,32,8.41,VN,1597686073
130,Hamilton,39.18,-84.53,87.01,51,1,5.82,US,1597685899
131,Pyn U Lwin,22.03,96.47,64.54,100,100,4.56,MM,1597686075
132,Howard Springs,-12.5,131.05,73.4,88,40,2.24,AU,1597686077
133,Cape Town,-33.93,18.42,52.0,66,75,17.22,ZA,1597686078
134,Arraial do Cabo,-22.97,-42.03,80.6,69,75,5.82,BR,1597686079
135,Beira,-19.84,34.84,73.4,83,20,9.17,MZ,1597685906
136,Pechenga,69.53,31.17,46.4,75,40,23.04,RU,1597686082
137,Mirny,62.54,113.96,51.8,57,0,6.71,RU,1597686083
138,Carballo,43.21,-8.69,70.0,83,40,5.82,ES,1597686084
139,Mīnāb,27.15,57.08,91.4,66,21,4.7,IR,1597686086
140,Saskylakh,71.92,114.08,57.63,74,98,10.04,RU,1597686087
141,Ponta Delgada,37.73,-25.67,75.2,83,40,19.46,PT,1597686088
142,Ostrovnoy,68.05,39.51,46.56,83,100,12.66,RU,1597686089
143,Meïganga,6.52,14.3,69.22,93,100,1.5,CM,1597686090
144,Iracoubo,5.48,-53.2,81.39,81,91,11.68,GF,1597686092
145,Vilyuysk,63.76,121.62,43.56,67,10,2.86,RU,1597686093
146,Kiryat Gat,31.61,34.76,84.0,74,0,4.0,IL,1597686094
147,Tongzi,28.78,105.09,68.86,86,99,9.64,CN,1597686095
148,Kuloy,61.03,42.49,47.98,74,28,4.27,RU,1597686096
149,Shīeli,44.17,66.75,71.64,30,87,18.41,KZ,1597686098
150,Tsnori,41.62,45.97,69.8,68,90,9.17,GE,1597686099
151,Lexington,37.99,-84.48,84.0,57,20,8.05,US,1597685985
152,Diffa,13.32,12.61,89.8,47,96,5.19,NE,1597686102
153,Narsaq,60.92,-46.05,62.6,42,75,6.93,GL,1597686104
154,Royal Tunbridge Wells,51.13,0.26,69.01,79,32,5.01,GB,1597686032
155,Saint-Pierre,-21.34,55.48,68.0,68,20,6.93,RE,1597686106
156,Massakory,13.0,15.73,83.97,63,38,8.95,TD,1597686107
157,Lavrentiya,65.58,-171.0,45.99,87,100,1.41,RU,1597686108
158,Mount Gambier,-37.83,140.77,48.2,93,90,11.41,AU,1597686109
159,Strezhevoy,60.73,77.59,59.0,87,87,8.95,RU,1597686111
160,Sydney,-33.87,151.21,53.6,62,14,9.17,AU,1597685977
161,Lebu,-37.62,-73.65,51.28,68,1,8.3,CL,1597686113
162,San Andrés,12.58,-81.7,86.0,74,75,10.29,CO,1597685901
163,Lagoa,39.05,-27.98,74.52,89,89,30.49,PT,1597686115
164,Morón,-34.65,-58.62,62.6,39,0,9.17,AR,1597686117
165,Raja,8.46,25.68,72.12,78,99,4.76,SS,1597686118
166,Marsá Maţrūḩ,31.35,27.25,78.82,75,0,7.29,EG,1597686119
167,Thompson,55.74,-97.86,59.0,58,75,2.24,CA,1597685953
168,Kieta,-6.22,155.63,77.52,79,7,4.0,PG,1597686121
169,Tiksi,71.69,128.87,48.81,62,100,6.35,RU,1597686123
170,Roebourne,-20.78,117.13,65.17,29,0,10.45,AU,1597686124
171,Horodyshche,49.28,31.45,69.13,50,5,3.11,UA,1597686125
172,Verāval,20.9,70.37,81.95,84,98,16.33,IN,1597686127
173,Teacapan,22.55,-105.75,91.63,52,100,4.74,MX,1597686128
174,Vardø,70.37,31.11,46.4,81,75,14.99,NO,1597686129
175,Narrabri,-30.32,149.78,46.99,81,40,2.24,AU,1597686130
176,Lasem,-6.69,111.45,77.81,74,27,7.45,ID,1597686131
177,Challans,46.84,-1.87,73.4,56,30,11.41,FR,1597686132
178,Bengkulu,-3.8,102.27,76.42,87,74,1.25,ID,1597686134
179,Karpogory,64.0,44.45,46.47,96,100,3.53,RU,1597686135
180,Carson City,39.16,-119.77,82.99,31,1,3.4,US,1597685883
181,Inta,66.03,60.17,52.88,74,100,6.58,RU,1597686137
182,Cayenne,4.93,-52.33,87.8,66,75,13.87,GF,1597686138
183,Hithadhoo,-0.6,73.08,84.33,72,70,7.47,MV,1597686139
184,Río Cuarto,-33.13,-64.35,68.0,19,0,2.24,AR,1597686141
185,Pekalongan,-6.89,109.68,79.18,78,24,6.46,ID,1597686142
186,Aylesbury,51.82,-0.81,68.0,82,85,1.99,GB,1597686143
187,Mocuba,-16.84,36.99,70.32,84,20,6.8,MZ,1597686144
188,Cidreira,-30.18,-50.21,61.75,62,0,6.69,BR,1597686145
189,Byron Bay,-28.65,153.62,53.6,66,0,8.05,AU,1597686147
190,Denpasar,-8.65,115.22,78.8,100,40,9.17,ID,1597686062
191,San Cristobal,7.77,-72.22,86.0,66,40,6.93,VE,1597686151
192,Kaitangata,-46.28,169.85,37.0,76,67,4.43,NZ,1597686152
193,Saint-Philippe,-21.36,55.77,69.8,68,20,6.93,RE,1597686153
194,Tura,25.52,90.22,75.83,95,94,8.46,IN,1597686155
195,Norman Wells,65.28,-126.83,53.6,66,75,8.05,CA,1597686156
196,Havre-St-Pierre,50.23,-63.6,71.6,53,1,6.93,CA,1597686157
197,Sungai Penuh,-2.08,101.38,65.26,95,92,0.74,ID,1597686158
198,Souillac,-20.52,57.52,71.6,78,40,11.41,MU,1597686160
199,Bridlington,54.08,-0.19,68.0,77,100,9.17,GB,1597686161
200,Churāchāndpur,24.33,93.67,68.9,97,100,2.13,IN,1597686162
201,Touros,-5.2,-35.46,84.2,54,40,14.99,BR,1597686163
202,Esperance,-33.87,121.9,46.4,75,71,21.92,AU,1597685890
203,Yeppoon,-23.13,150.73,50.0,81,0,3.15,AU,1597686166
204,Nyurba,63.28,118.33,44.29,76,0,2.08,RU,1597686167
205,Kerema,-7.96,145.78,75.27,84,87,8.41,PG,1597686168
206,Chui,-33.7,-53.46,59.09,50,0,3.15,UY,1597686169
207,Husavik,66.04,-17.34,57.2,82,100,11.41,IS,1597686170
208,Iqaluit,63.75,-68.51,46.4,87,75,10.29,CA,1597686171
209,Boundiali,9.52,-6.49,80.1,84,44,1.99,CI,1597686172
210,Kaeo,-35.1,173.78,57.0,3,100,8.99,NZ,1597686174
211,Sabzawār,36.21,57.68,82.4,37,0,23.04,IR,1597686175
212,Ahipara,-35.17,173.17,56.66,81,100,15.14,NZ,1597686176
213,La Palma,33.85,-118.05,89.01,54,75,3.36,US,1597686177
214,Antofagasta,-23.65,-70.4,59.0,58,20,11.41,CL,1597686001
215,Cooma,-36.23,149.13,42.8,83,90,10.29,AU,1597686180
216,Yārāda,17.65,83.27,84.2,79,75,11.41,IN,1597686181
217,Longyearbyen,78.22,15.64,46.4,70,75,8.05,SJ,1597686122
218,Bowen,-20.02,148.23,55.99,93,0,2.24,AU,1597686183
219,Puerto del Rosario,28.5,-13.86,78.8,74,0,16.11,ES,1597686185
220,Alexandria,31.22,29.96,80.51,71,0,13.82,EG,1597686186
221,Cherskiy,68.75,161.3,40.95,92,100,12.86,RU,1597686187
222,Nizwá,22.93,57.53,97.99,24,70,6.51,OM,1597686188
223,Togur,58.36,82.83,55.99,92,55,6.06,RU,1597686189
224,Upernavik,72.79,-56.15,46.29,55,96,2.1,GL,1597686190
225,Aksu,41.12,80.26,82.24,27,78,5.14,CN,1597686192
226,Gatton,-27.55,152.28,48.99,86,0,4.25,AU,1597686193
227,Usakos,-22.0,15.6,49.21,58,0,5.17,NA,1597686194
228,Yeniseysk,58.45,92.17,52.66,70,12,5.06,RU,1597686195
229,Bela,25.93,81.98,84.81,79,79,8.21,IN,1597686196
230,Juegang,32.32,121.19,78.71,88,0,13.22,CN,1597686198
231,Alice Springs,-23.7,133.88,66.2,25,0,9.17,AU,1597686199
232,Bambous Virieux,-20.34,57.76,71.6,78,40,11.41,MU,1597686198
233,São José da Coroa Grande,-8.9,-35.15,78.4,70,10,10.07,BR,1597686201
234,Ilulissat,69.22,-51.1,50.0,53,75,3.36,GL,1597686202
235,Fairbanks,64.84,-147.72,57.99,71,1,4.7,US,1597686129
236,Tasiilaq,65.61,-37.64,48.2,93,75,6.93,GL,1597686204
237,Elmadağ,39.92,33.23,78.8,23,20,9.17,TR,1597686206
238,Hofn,64.25,-15.21,50.0,93,90,6.93,IS,1597686207
239,San Patricio,19.22,-104.7,89.6,62,75,9.17,MX,1597686208
240,Tomé,-36.62,-72.95,53.6,66,20,16.11,CL,1597686209
241,North Bend,43.41,-124.22,71.01,82,90,4.7,US,1597686093
242,Zhangjiakou,40.81,114.88,65.35,83,100,3.91,CN,1597686211
243,Kahului,20.89,-156.47,78.8,65,20,10.29,US,1597686212
244,Martí,22.95,-80.92,87.8,70,75,8.05,CU,1597686214
245,Ngawen,-7.0,111.31,75.7,80,57,4.59,ID,1597686215
246,Bosaso,11.28,49.18,93.52,41,18,6.11,SO,1597686216
247,Marawi,8.0,124.29,73.99,95,100,4.0,PH,1597686217
248,Samarai,-10.62,150.67,73.99,73,58,10.83,PG,1597686199
249,Biograd na Moru,43.94,15.45,81.0,61,20,4.7,HR,1597686220
250,Namatanai,-3.67,152.43,78.76,83,7,10.27,PG,1597686221
251,Nemuro,43.32,145.57,61.48,92,0,10.36,JP,1597686222
252,Kogon,39.72,64.55,80.6,26,8,16.11,UZ,1597686223
253,Kalevala,65.2,31.17,50.2,70,56,6.15,RU,1597686224
254,Jinzhou,41.11,121.14,76.84,94,50,7.92,CN,1597686225
255,Yulara,-25.24,130.99,57.2,36,0,6.93,AU,1597686226
256,Caravelas,-17.71,-39.25,79.54,65,14,9.55,BR,1597686228
257,Pemangkat,1.17,108.97,79.45,84,10,6.53,ID,1597686229
258,Tuatapere,-46.13,167.68,37.0,96,92,3.0,NZ,1597686230
259,Gandajika,-6.75,23.95,82.87,20,10,0.27,CD,1597686231
260,Hong Kong,22.29,114.16,81.0,83,97,3.0,HK,1597686230
261,Talnakh,69.49,88.4,59.0,54,1,4.47,RU,1597686233
262,Port Lincoln,-34.73,135.87,53.08,76,25,17.85,AU,1597686235
263,Vastse-Kuuste,58.17,26.93,68.0,42,14,4.7,EE,1597686236
264,Cachoeira do Sul,-30.04,-52.89,67.01,42,0,2.86,BR,1597686121
265,Nioki,-2.72,17.68,84.99,54,78,2.08,CD,1597686238
266,Batagay-Alyta,67.8,130.41,37.2,80,3,1.54,RU,1597686186
267,Fenoarivo,-18.93,47.44,57.2,87,20,5.82,MG,1597686240
268,Krasnosel'kup,65.7,82.47,57.09,93,42,7.63,RU,1597685972
269,Atar,20.52,-13.05,106.27,19,0,11.61,MR,1597686243
270,Panjāb,34.39,67.02,61.23,32,0,5.55,AF,1597686244
271,Yinchuan,38.47,106.27,61.65,72,100,5.17,CN,1597686245
272,Villaviciosa,43.48,-5.44,73.0,69,99,1.81,ES,1597685947
273,Lüderitz,-26.65,15.16,56.43,65,0,21.43,NA,1597686247
274,Lancaster,40.25,-76.25,81.0,61,75,8.05,US,1597686248
275,Pangnirtung,66.15,-65.71,48.2,87,90,5.82,CA,1597686180
276,Pokhara,28.23,83.98,74.39,85,46,0.81,NP,1597686251
277,Golden,39.76,-105.22,86.0,35,9,3.0,US,1597686252
278,Roswell,34.02,-84.36,88.0,62,90,6.93,US,1597686108
279,Merauke,-8.47,140.33,73.29,83,0,11.23,ID,1597686254
280,Ola,59.58,151.28,53.35,83,100,2.93,RU,1597686255
281,Cabo San Lucas,22.89,-109.91,91.0,55,5,14.99,MX,1597686002
282,Korla,41.76,86.15,80.01,51,37,4.0,CN,1597686259
283,Cairns,-16.92,145.77,59.0,93,41,2.24,AU,1597685963
284,Koboko,3.41,30.96,65.35,95,68,3.31,UG,1597686261
285,Lerwick,60.15,-1.15,59.0,87,75,13.87,GB,1597686262
286,Saint-Augustin,51.23,-58.65,75.11,42,50,15.28,CA,1597686264
287,Guerrero Negro,27.98,-114.06,84.0,47,42,11.36,MX,1597686265
288,Beyneu,45.32,55.2,67.71,40,0,13.22,KZ,1597686266
289,Nurmijärvi,60.46,24.81,68.0,45,0,9.17,FI,1597686267
290,Vestmannaeyjar,63.44,-20.27,55.4,82,20,16.11,IS,1597686268
291,Oranjestad,12.52,-70.03,84.2,83,40,9.17,AW,1597686017
292,Belyy Yar,53.6,91.39,62.6,93,92,3.33,RU,1597686271
293,Lodja,-3.48,23.43,78.58,60,68,3.22,CD,1597686287
294,Hornepayne,49.21,-84.77,61.2,69,95,9.33,CA,1597686288
295,Berbera,10.44,45.01,94.64,44,4,3.8,SO,1597686289
296,Pacifica,37.61,-122.49,80.01,60,75,13.87,US,1597686065
297,Lompoc,34.64,-120.46,75.2,69,20,6.93,US,1597686001
298,Finschhafen,-6.6,147.87,76.66,73,22,4.18,PG,1597686292
299,Muravlenko,63.79,74.52,49.96,86,62,3.76,RU,1597686294
300,Makakilo City,21.35,-158.09,75.2,73,1,8.46,US,1597686295
301,Washougal,45.58,-122.35,79.0,56,20,5.82,US,1597686296
302,Srandakan,-7.94,110.25,75.87,85,58,8.23,ID,1597686297
303,Kuusamo,65.97,29.18,51.8,71,40,3.36,FI,1597686298
304,Uppsala County,60.0,17.75,73.4,69,99,12.75,SE,1597686299
305,Hualmay,-11.1,-77.61,65.5,66,97,10.8,PE,1597686171
306,Yaan,7.38,8.57,78.78,83,54,4.72,NG,1597686302
307,Machalí,-34.18,-70.67,55.4,47,0,6.93,CL,1597686306
308,Qaqortoq,60.72,-46.03,62.6,42,75,6.93,GL,1597686300
309,Moosomin,50.13,-101.67,79.68,41,14,8.23,CA,1597686312
310,Bayangol,50.7,103.47,43.56,80,39,2.21,RU,1597686313
311,Nizhniy Kuranakh,58.84,125.49,42.08,87,62,2.39,RU,1597686314
312,Baghdad,33.34,44.4,93.2,21,0,4.7,IQ,1597686315
313,Erbaa,40.67,36.57,71.6,56,20,4.7,TR,1597686316
314,Comodoro Rivadavia,-45.87,-67.5,57.2,28,20,34.45,AR,1597686209
315,Yoichi,43.2,140.77,69.01,96,87,3.98,JP,1597686319
316,Monteagudo,-19.82,-63.98,80.51,34,59,8.55,BO,1597686320
317,Bouca,6.51,18.27,74.37,90,89,3.22,CF,1597686321
318,Zheleznodorozhnyy,55.75,38.0,70.0,59,0,4.47,RU,1597686322
319,Stjørdalshalsen,63.47,10.93,66.2,55,3,5.82,NO,1597686324
320,Reconquista,-29.15,-59.65,72.84,21,0,8.01,AR,1597686325
321,Calamar,10.25,-74.91,87.8,79,75,5.82,CO,1597686326
322,Bairiki Village,1.33,172.98,78.8,78,20,2.24,KI,1597686327
323,Pisco,-13.7,-76.22,64.99,72,40,10.29,PE,1597686328
324,Raudeberg,61.99,5.14,66.0,87,47,4.65,NO,1597686329
325,Wajir,1.75,40.06,86.0,45,99,14.85,KE,1597686331
326,Naze,28.37,129.48,78.8,100,0,1.12,JP,1597686332
327,Springfield,37.22,-93.3,87.01,45,1,8.05,US,1597686120
328,Kibala,9.11,18.35,87.8,62,20,4.07,TD,1597686334
329,Ballina,-28.87,153.57,53.6,66,0,8.05,AU,1597686336
330,Ürümqi,43.8,87.6,77.0,31,13,6.71,CN,1597686337
331,Porsa,26.67,78.37,86.0,89,40,1.12,IN,1597686338
332,Beba,22.44,-79.73,91.4,59,75,8.05,CU,1597686339
333,Huangpi,30.88,114.38,84.2,70,0,6.71,CN,1597686340
334,Guatire,10.48,-66.54,75.0,87,93,2.06,VE,1597686342
335,Nepānagar,21.47,76.4,76.15,92,100,9.31,IN,1597686343
336,Crossville,35.95,-85.03,82.0,47,1,8.05,US,1597686344
337,Popova,42.96,131.72,71.6,94,100,4.47,RU,1597686345
338,Hasaki,35.73,140.83,80.6,100,75,2.24,JP,1597686347
339,Bouna,9.27,-3.0,81.41,70,64,4.99,CI,1597686348
340,Arrondissement du Havre,49.58,0.33,70.0,72,75,6.93,FR,1597686349
341,Villamar,20.02,-102.6,76.98,61,67,3.53,MX,1597686350
342,Vao,-22.67,167.48,69.8,90,96,14.92,NC,1597686352
343,Mitsamiouli,-11.38,43.28,78.8,69,20,11.41,KM,1597686353
344,Kalabo,-14.97,22.68,71.73,19,0,2.71,ZM,1597686354
345,Monticello,45.31,-93.79,73.99,49,1,12.15,US,1597686294
346,Shimanovsk,52.0,127.7,55.31,97,100,10.0,RU,1597686356
347,Kotlas,61.26,46.66,47.68,76,2,5.03,RU,1597686358
348,Harper,4.38,-7.72,75.67,74,77,8.16,LR,1597686359
349,Kulhudhuffushi,6.62,73.07,82.78,74,72,5.39,MV,1597686259
350,Geraldton,-28.77,114.6,50.0,93,52,5.82,AU,1597686368
351,Westport,41.14,-73.36,80.01,64,1,12.75,US,1597686230
352,Liverpool,53.41,-2.98,68.0,72,75,13.87,GB,1597686366
353,Oriximiná,-1.77,-55.87,98.53,27,31,9.93,BR,1597686376
354,Katherine,-14.47,132.27,78.8,29,0,12.75,AU,1597686377
355,Aswān,24.09,32.91,98.08,16,5,10.33,EG,1597686378
356,Constitución,-35.33,-72.42,54.97,60,0,13.24,CL,1597686380
357,Sol'-Iletsk,51.16,54.99,59.18,69,92,6.62,RU,1597686381
358,Imeni Poliny Osipenko,52.42,136.49,52.11,93,100,1.97,RU,1597686382
359,Teya,60.38,92.63,49.96,72,18,2.46,RU,1597686257
360,Egvekinot,66.32,-179.17,46.87,89,98,1.41,RU,1597686384
361,Kuah,6.33,99.84,82.4,88,20,6.06,MY,1597686386
362,Dudinka,69.41,86.18,59.0,54,2,4.47,RU,1597686387
363,Klaksvík,62.23,-6.59,55.4,87,29,9.17,FO,1597686388
364,Adrar,20.5,-10.07,107.4,15,0,12.44,MR,1597686244
365,Ust-Nera,64.57,143.2,39.2,71,30,7.02,RU,1597686391
366,Palmer,42.16,-72.33,80.01,53,20,1.88,US,1597686392
367,Honningsvåg,70.98,25.97,46.4,87,75,23.04,NO,1597686260
368,Itarema,-2.92,-39.92,86.58,47,0,20.42,BR,1597686394
369,Ternate,0.8,127.4,79.83,82,99,8.19,ID,1597686395
370,Katsina,12.99,7.6,87.33,50,54,6.73,NG,1597686396
371,Dikson,73.51,80.55,51.04,93,37,14.74,RU,1597686398
372,Bocas del Toro,9.33,-82.25,77.0,44,90,1.99,PA,1597686399
373,Hambantota,6.12,81.12,80.49,81,27,17.22,LK,1597686400
